"","T3_VS_T1_baseMean","T3_VS_T1_log2FoldChange","T3_VS_T1_lfcSE","T3_VS_T1_stat","T3_VS_T1_pvalue","T3_VS_T1_padj"
"ENSMUSG00000000159",11.8436497147053,0.217854308864352,0.736999335880356,0.295596343521967,0.767538366364291,0.917038569143462
"ENSMUSG00000000167",5.76481198724836,0.333385038313702,0.925960216541448,0.360042507613262,0.718815345712433,0.897566640223991
"ENSMUSG00000000168",1262.81173342474,0.0382891673748102,0.172662189176197,0.221757685093041,0.824502521680108,0.938132422650958
"ENSMUSG00000000171",2180.59740624233,0.273734673602901,0.185968897071277,1.47193793109385,0.141037639459635,0.40666387037758
"ENSMUSG00000000182",0.223176350186735,1.95577481915297,4.03339205833267,0.484895787681361,0.627750270565188,NA
"ENSMUSG00000000183",0,NA,NA,NA,NA,NA
"ENSMUSG00000000184",800.537314284786,-0.0439251069066856,0.405413154019788,-0.108346526182378,0.913720817253363,0.97001585505105
"ENSMUSG00000000194",583.001205240547,-0.0986289550893868,0.227302431001568,-0.433910691824964,0.664353295342257,0.870773937790737
"ENSMUSG00000000197",0,NA,NA,NA,NA,NA
"ENSMUSG00000000202",0.595175848231517,-0.91775425073579,3.87891884476684,-0.236600529029876,0.812966709748033,NA
"ENSMUSG00000000204",20650.7361804268,-0.0564915751508551,0.397428489486362,-0.142142741764349,0.886967257864175,0.960952665339187
"ENSMUSG00000000214",0.592302564777819,3.37864738812038,3.95448442625535,0.854383789120076,0.392892375030023,NA
"ENSMUSG00000000215",0,NA,NA,NA,NA,NA
"ENSMUSG00000000216",0,NA,NA,NA,NA,NA
"ENSMUSG00000000223",20.1103001785158,0.388391046884082,0.472822019602325,0.821431808972738,0.411400351195618,0.701633339830962
"ENSMUSG00000000244",2044.85918647882,0.484727308089556,0.153703827133823,3.15364501410577,0.00161245094476573,0.0212036013390646
"ENSMUSG00000000247",0.119851687453242,0,4.08045587181216,0,1,NA
"ENSMUSG00000000248",5.25415311170643,0.517541213127974,1.27875651187495,0.404722250343923,0.685681684944965,0.88028365697518
"ENSMUSG00000000253",41.4333776487571,2.05206244668835,0.858203106085746,2.3911151476109,NA,NA
"ENSMUSG00000000263",0.335625666366387,0.0440406287260814,4.08045587181216,0.0107930658018665,0.99138854662504,NA
"ENSMUSG00000000266",0.872531134427846,3.46221445434272,2.94295202495094,1.17644270956148,0.239418013265001,NA
"ENSMUSG00000000275",1984.37252880163,-0.240713857360762,0.144475296728854,-1.66612467882676,0.0956885840566486,0.322877992857404
"ENSMUSG00000000276",230.756221554033,-0.26552913013272,0.208733322388123,-1.27209746433772,0.203338492010374,0.493510457330453
"ENSMUSG00000000278",139.554692507345,-0.455520441091733,0.544831694433109,-0.836075517900436,0.403112420276928,0.694535984889646
"ENSMUSG00000000282",971.025443537559,-0.189714283657315,0.134683980982996,-1.40858832856498,0.158956932006438,0.432644179793013
"ENSMUSG00000000290",9567.06091887662,0.0841257902674645,0.273659106710871,0.307410892619576,0.758530638228951,0.914838682903841
"ENSMUSG00000000295",276.270631175646,0.939711086949735,0.219018278843833,4.29056009347868,1.78223048987043e-05,0.000683464669254962
"ENSMUSG00000000296",4.40328138327568,4.48498239925601,1.7575763288234,2.55179950122477,0.0107168170767283,0.0791757677398072
"ENSMUSG00000000301",56.7995166727207,0.705232652925927,0.351406679907457,2.00688459625084,0.0447619523789196,0.207221952478491
"ENSMUSG00000000303",48.7524398413019,0.845294907321547,0.94440261504327,0.895057779232026,0.370756202079099,0.667640789672956
"ENSMUSG00000000305",0.419660849411626,2.3839080278863,4.00127756464669,0.595786717959617,0.55131771782998,NA
"ENSMUSG00000000308",0.370528701068149,0,4.08045587179411,0,1,NA
"ENSMUSG00000000317",0.318317448938227,0.994009829290289,4.03339139515121,0.246445170306371,0.805337643371985,NA
"ENSMUSG00000000318",30.724477427543,-0.0981578595550913,1.12780793683314,-0.0870341982436444,0.930644328968063,0.975596840239575
