"","T1_L1","T1_L2","T1_L3","T2_N","T2_R1","T2_R3","T3_L4","T3_R2","T3_R4","SYMBOL"
"ENSMUSG00000017428",1649.79973413877,1695.49163375309,1546.42341910676,1459.51255350744,1419.52338619619,1660.36887084032,1342.45376306893,1638.79288289704,1423.63222262172,"Psmd11"
"ENSMUSG00000017446",0,0,0,1.11158610320445,3.23599556123753,0,0,5.48091265182957,0,"C1qtnf1"
"ENSMUSG00000017453",6.32107177830948,11.6868458318082,20.5504773303224,2.22317220640889,1.07866518707918,0,0,3.65394176788638,0,"Pipox"
"ENSMUSG00000017466",510.953302080016,516.019192881377,718.410436672519,1121.59037813329,1022.57459735106,389.48241507501,1685.39694807528,657.709518219548,1008.58867464201,"Timp2"
"ENSMUSG00000017478",2398.84673986845,2310.39952213439,2235.72067956132,1951.94519722701,1980.42928347737,2282.47365985054,1826.66110977479,1996.8791761499,1775.15987143832,"Zc3h18"
"ENSMUSG00000017485",4493.22852241499,4307.05218309177,4565.63104688662,3886.10501680275,3751.59752066137,3937.50715514188,4043.35345845578,4127.12722682766,3917.17881562916,"Top2b"
"ENSMUSG00000017491",2.10702392610316,1.79797628181664,5.99388922134402,4.44634441281779,1.07866518707918,1.06707510979455,3.55381538866692,0,4.38040683883607,"Rarb"
"ENSMUSG00000017493",4421.58970892748,4522.80933690977,3476.45574837953,3401.45347580561,3418.28997785391,5336.44262408253,3386.78606539957,3265.71045504845,1805.82271931017,"Igfbp4"
"ENSMUSG00000017499",1093.54541764754,1197.45220368988,1047.21807395768,975.972598613504,909.314752707745,1068.14218490434,649.459762278879,814.829014238662,818.040977152636,"Cdc6"
"ENSMUSG00000017548",2977.22480758376,2803.04502335215,2839.39095113954,2642.24016731697,2424.83934055399,2789.33433700295,1967.9252714743,2576.94243180187,2402.65315110159,"Suz12"
"ENSMUSG00000017550",1271.58893940326,1291.84595848526,1193.64022493622,1004.87383729682,960.012016500466,1175.91677099359,862.688685598894,997.526102632981,808.185061765255,"Atad5"
"ENSMUSG00000017561",1947.94361968237,2096.44034459821,2031.07217614686,1913.03968361485,1979.35061829029,1870.58266746984,1863.08771750863,1576.67587284297,1583.51707223924,"Crlf3"
"ENSMUSG00000017588",0,0,0,0,0,0,0,0,0,"Krt27"
"ENSMUSG00000017607",37.9264306698569,23.3736916636164,24.8318267741395,47.7982024377912,46.3826030444045,21.3415021958909,28.4305231093353,71.2518644737844,36.1383564203976,"Tns4"
"ENSMUSG00000017615",200.1672729798,273.29239483613,177.24786697403,182.300120925529,181.215751429301,158.994191359388,191.906030988013,262.170321845848,440.230887303025,"Tnfaip1"
"ENSMUSG00000017631",3068.88034836925,2996.32747364744,3155.35454009325,3080.20509197952,2984.66657264808,3162.81062543104,3512.05805785008,3095.80216284173,2423.46008358606,"Abr"
"ENSMUSG00000017639",1159.91667131979,1106.65440145814,1259.57300637101,1678.49501583871,1375.29811352595,1290.09380774161,1927.05639450463,1418.64289138189,1135.62047296825,"Rab11fip4"
"ENSMUSG00000017652",28.4448230023926,15.2827983954415,30.8257159954835,21.1201359608845,20.4946385545043,12.8049013175346,0,6.39439809380116,0,"Cd40"
"ENSMUSG00000017664",2013.26136139157,2027.21825774827,1880.3686757245,2031.97939665773,1969.64263160657,2302.74808693663,1939.49474836497,1722.83354355843,1640.46236114411,"Slc35c2"
"ENSMUSG00000017667",0,0,0,0,0,0,0,0,0,"Zfp334"
"ENSMUSG00000017670",1128.31131242824,1187.56333413989,1137.12641227784,1141.59892799097,1039.83324034433,914.483369093927,933.764993372232,855.022373685412,1094.00660799931,"Elmo2"
"ENSMUSG00000017677",1779.38170559412,1886.07711962566,1834.98637162003,1745.19018203098,1833.7308180346,1885.52171900696,1536.13670175127,1540.13645516411,1546.28361410913,"Wsb1"
"ENSMUSG00000017679",653.177417091979,596.029137422217,634.495987573703,632.49249272333,574.9285447132,565.54980819111,485.984254400201,555.399148718729,505.936989885566,"Ttpal"
"ENSMUSG00000017686",809.097187623613,880.109389949247,845.138380209507,756.990136282228,773.402939135769,975.306650352216,780.950931659555,830.358266752179,977.925826770153,"Rhot1"
"ENSMUSG00000017688",0,0,0,0,0,0,0,0,0,"Hnf4g"
"ENSMUSG00000017692",11.5886315935674,12.5858339727165,17.9816676640321,7.78110272243113,11.8653170578709,13.8719764273291,0,9.13485441971594,12.0461188067992,"Rhbdl3"
"ENSMUSG00000017697",1778.32819363107,1723.36026612125,1691.13303030778,2363.23205541265,2357.96209895508,2923.78580083706,2093.19726392481,3122.29324065891,1225.41881316439,"Ada"
"ENSMUSG00000017707",6826.75752057423,6763.0877840533,7652.48399587879,7259.76884002824,7266.96736535241,5407.93665643877,15311.6136020714,8456.13473633105,12961.6238361159,"Serinc3"
"ENSMUSG00000017713",9.48160766746421,4.49494070454161,12.8440483314515,18.8969637544756,28.0452948640586,6.40245065876728,6.2191769301671,31.9719904690058,12.0461188067992,"Tha1"
